ANO_ELEICAO;DS_CARGO;SG_PARTIDO;CD_MUNICIPIO;votos_partido_municipio
2002;DEPUTADO FEDERAL;PTB;14915;18
2002;DEPUTADO FEDERAL;PTB;14931;218
2002;DEPUTADO FEDERAL;PTB;14958;51
2002;DEPUTADO FEDERAL;PTB;14974;12
2002;DEPUTADO FEDERAL;PTB;14990;3
2002;DEPUTADO FEDERAL;PTB;15016;2
2002;DEPUTADO FEDERAL;PTB;15032;12
2002;DEPUTADO FEDERAL;PTB;15059;15
2002;DEPUTADO FEDERAL;PTB;15075;16
2002;DEPUTADO FEDERAL;PTB;15091;7
2002;DEPUTADO FEDERAL;PTB;15113;5
2002;DEPUTADO FEDERAL;PTB;15156;27
2002;DEPUTADO FEDERAL;PTB;15172;1
2002;DEPUTADO FEDERAL;PTB;15199;7
2002;DEPUTADO FEDERAL;PTB;15210;1
2002;DEPUTADO FEDERAL;PTB;15237;2
2002;DEPUTADO FEDERAL;PTB;15253;3
2002;DEPUTADO FEDERAL;PTB;15270;59
2002;DEPUTADO FEDERAL;PTB;15296;22
2002;DEPUTADO FEDERAL;PTB;15318;6
2002;DEPUTADO FEDERAL;PTB;15334;42
2002;DEPUTADO FEDERAL;PTB;15350;3
2002;DEPUTADO FEDERAL;PTB;15377;7
2002;DEPUTADO FEDERAL;PTB;15393;1
2002;DEPUTADO FEDERAL;PTB;15415;12
2002;DEPUTADO FEDERAL;PTB;15431;1
2002;DEPUTADO FEDERAL;PTB;15458;20
2002;DEPUTADO FEDERAL;PTB;15474;7
2002;DEPUTADO FEDERAL;PTB;15490;60
2002;DEPUTADO FEDERAL;PTB;15512;2
2002;DEPUTADO FEDERAL;PTB;15539;12
2002;DEPUTADO FEDERAL;PTB;15555;10
2002;DEPUTADO FEDERAL;PTB;15571;2
2002;DEPUTADO FEDERAL;PTB;15598;35
2002;DEPUTADO FEDERAL;PTB;15610;4
2002;DEPUTADO FEDERAL;PTB;15636;3
2002;DEPUTADO FEDERAL;PTB;15652;8
2002;DEPUTADO FEDERAL;PTB;15679;6
2002;DEPUTADO FEDERAL;PTB;15695;15
2002;DEPUTADO FEDERAL;PTB;15717;10
2002;DEPUTADO FEDERAL;PTB;15733;10
2002;DEPUTADO FEDERAL;PTB;15750;2
2002;DEPUTADO FEDERAL;PTB;15776;8
2002;DEPUTADO FEDERAL;PTB;15792;4
2002;DEPUTADO FEDERAL;PTB;15814;14
2002;DEPUTADO FEDERAL;PTB;15830;6
2002;DEPUTADO FEDERAL;PTB;15857;454
2002;DEPUTADO FEDERAL;PTB;15873;54
2002;DEPUTADO FEDERAL;PTB;15890;2
2002;DEPUTADO FEDERAL;PTB;15911;17
2002;DEPUTADO FEDERAL;PTB;15920;7
2002;DEPUTADO FEDERAL;PTB;15954;21
2002;DEPUTADO FEDERAL;PTB;15970;1
2002;DEPUTADO FEDERAL;PTB;15989;2
2002;DEPUTADO FEDERAL;PTB;15997;10
2002;DEPUTADO FEDERAL;PTB;98531;1
2002;DEPUTADO FEDERAL;PTB;98558;19
2002;DEPUTADO FEDERAL;PTB;98574;14
2002;DEPUTADO FEDERAL;PTN;13102;1
2002;DEPUTADO FEDERAL;PTN;13196;5
2002;DEPUTADO FEDERAL;PTN;13226;10
2002;DEPUTADO FEDERAL;PTN;13242;2
2002;DEPUTADO FEDERAL;PTN;13293;1
2002;DEPUTADO FEDERAL;PTN;13471;1
2002;DEPUTADO FEDERAL;PTN;13498;1
2002;DEPUTADO FEDERAL;PTN;13510;2
2002;DEPUTADO FEDERAL;PTN;13552;3
2002;DEPUTADO FEDERAL;PTN;13595;7
2002;DEPUTADO FEDERAL;PTN;13730;3
2002;DEPUTADO FEDERAL;PTN;13897;182
2002;DEPUTADO FEDERAL;PTN;13951;1
2002;DEPUTADO FEDERAL;PTN;14095;1
2002;DEPUTADO FEDERAL;PTN;14192;1
2002;DEPUTADO FEDERAL;PTN;14230;1
2002;DEPUTADO FEDERAL;PTN;14338;1
2002;DEPUTADO FEDERAL;PTN;14478;2
2002;DEPUTADO FEDERAL;PTN;14516;3
2002;DEPUTADO FEDERAL;PTN;14559;145
2002;DEPUTADO FEDERAL;PTN;14737;1
2002;DEPUTADO FEDERAL;PTN;14753;1
2002;DEPUTADO FEDERAL;PTN;14834;1
2002;DEPUTADO FEDERAL;PTN;14877;1
2002;DEPUTADO FEDERAL;PTN;14958;22
2002;DEPUTADO FEDERAL;PTN;15032;2
2002;DEPUTADO FEDERAL;PTN;15156;3
2002;DEPUTADO FEDERAL;PTN;15270;2
2002;DEPUTADO FEDERAL;PTN;15318;1
2002;DEPUTADO FEDERAL;PTN;15334;2
2002;DEPUTADO FEDERAL;PTN;15377;1
2002;DEPUTADO FEDERAL;PTN;15458;1
2002;DEPUTADO FEDERAL;PTN;15490;2
2002;DEPUTADO FEDERAL;PTN;15636;1
2002;DEPUTADO FEDERAL;PTN;15733;1
2002;DEPUTADO FEDERAL;PTN;15814;2
2002;DEPUTADO FEDERAL;PTN;15857;36
2002;DEPUTADO FEDERAL;PTN;15911;8
2002;DEPUTADO FEDERAL;PTN;98531;1
2002;DEPUTADO FEDERAL;PV;13099;1
2002;DEPUTADO FEDERAL;PV;13129;1
2002;DEPUTADO FEDERAL;PV;13137;7
2002;DEPUTADO FEDERAL;PV;13196;10
2002;DEPUTADO FEDERAL;PV;13285;1
2002;DEPUTADO FEDERAL;PV;13471;2
2002;DEPUTADO FEDERAL;PV;13552;14
2002;DEPUTADO FEDERAL;PV;13579;6
2002;DEPUTADO FEDERAL;PV;13692;1
2002;DEPUTADO FEDERAL;PV;13714;1
2002;DEPUTADO FEDERAL;PV;13730;18
2002;DEPUTADO FEDERAL;PV;13811;1
2002;DEPUTADO FEDERAL;PV;13838;4
2002;DEPUTADO FEDERAL;PV;13854;3
2002;DEPUTADO FEDERAL;PV;13897;527
2002;DEPUTADO FEDERAL;PV;14060;3
2002;DEPUTADO FEDERAL;PV;14117;1
2002;DEPUTADO FEDERAL;PV;14230;1
2002;DEPUTADO FEDERAL;PV;14273;1
2002;DEPUTADO FEDERAL;PV;14354;2
2002;DEPUTADO FEDERAL;PV;14419;9
2002;DEPUTADO FEDERAL;PV;14478;1
2002;DEPUTADO FEDERAL;PV;14559;43
2002;DEPUTADO FEDERAL;PV;14591;6
2002;DEPUTADO FEDERAL;PV;14613;1
2002;DEPUTADO FEDERAL;PV;14796;1
2002;DEPUTADO FEDERAL;PV;14958;14
2002;DEPUTADO FEDERAL;PV;14974;1
2002;DEPUTADO FEDERAL;PV;15032;2
2002;DEPUTADO FEDERAL;PV;15113;4
2002;DEPUTADO FEDERAL;PV;15156;1
2002;DEPUTADO FEDERAL;PV;15172;1
2002;DEPUTADO FEDERAL;PV;15270;29
2002;DEPUTADO FEDERAL;PV;15296;87
2002;DEPUTADO FEDERAL;PV;15490;1
2002;DEPUTADO FEDERAL;PV;15555;2
2002;DEPUTADO FEDERAL;PV;15598;1
2002;DEPUTADO FEDERAL;PV;15636;1
2002;DEPUTADO FEDERAL;PV;15652;1
2002;DEPUTADO FEDERAL;PV;15717;3
2002;DEPUTADO FEDERAL;PV;15814;2
2002;DEPUTADO FEDERAL;PV;15857;25
2002;DEPUTADO FEDERAL;PV;15873;2
2002;DEPUTADO FEDERAL;PV;15890;1
2002;DEPUTADO FEDERAL;PV;15970;2
2002;DEPUTADO FEDERAL;PV;15997;1
2006;DEPUTADO ESTADUAL;PAN;13005;27
2006;DEPUTADO ESTADUAL;PAN;13013;31
2006;DEPUTADO ESTADUAL;PAN;13021;48
2006;DEPUTADO ESTADUAL;PAN;13030;199
2006;DEPUTADO ESTADUAL;PAN;13048;21
2006;DEPUTADO ESTADUAL;PAN;13056;769
2006;DEPUTADO ESTADUAL;PAN;13064;25
2006;DEPUTADO ESTADUAL;PAN;13072;17
2006;DEPUTADO ESTADUAL;PAN;13080;147
2006;DEPUTADO ESTADUAL;PAN;13099;6
2006;DEPUTADO ESTADUAL;PAN;13102;4
2006;DEPUTADO ESTADUAL;PAN;13129;78
2006;DEPUTADO ESTADUAL;PAN;13137;35
2006;DEPUTADO ESTADUAL;PAN;13145;33
2006;DEPUTADO ESTADUAL;PAN;13153;2
2006;DEPUTADO ESTADUAL;PAN;13161;107
2006;DEPUTADO ESTADUAL;PAN;13170;64
2006;DEPUTADO ESTADUAL;PAN;13188;223
2006;DEPUTADO ESTADUAL;PAN;13196;490
2006;DEPUTADO ESTADUAL;PAN;13200;31
2006;DEPUTADO ESTADUAL;PAN;13218;170
2006;DEPUTADO ESTADUAL;PAN;13226;544
2006;DEPUTADO ESTADUAL;PAN;13234;158
2006;DEPUTADO ESTADUAL;PAN;13242;84
2006;DEPUTADO ESTADUAL;PAN;13250;2
2006;DEPUTADO ESTADUAL;PAN;13269;3
2006;DEPUTADO ESTADUAL;PAN;13277;31
2006;DEPUTADO ESTADUAL;PAN;13285;173
2006;DEPUTADO ESTADUAL;PAN;13293;3
2006;DEPUTADO ESTADUAL;PAN;13307;253
2006;DEPUTADO ESTADUAL;PAN;13315;19
2006;DEPUTADO ESTADUAL;PAN;13323;35
2006;DEPUTADO ESTADUAL;PAN;13331;87
2006;DEPUTADO ESTADUAL;PAN;13340;169
2006;DEPUTADO ESTADUAL;PAN;13358;9
2006;DEPUTADO ESTADUAL;PAN;13366;2
2006;DEPUTADO ESTADUAL;PAN;13374;68
2006;DEPUTADO ESTADUAL;PAN;13382;22
2006;DEPUTADO ESTADUAL;PAN;13390;41
2006;DEPUTADO ESTADUAL;PAN;13404;15
2006;DEPUTADO ESTADUAL;PAN;13412;498
2006;DEPUTADO ESTADUAL;PAN;13420;76
2006;DEPUTADO ESTADUAL;PAN;13439;2478
2006;DEPUTADO ESTADUAL;PAN;13447;31
2006;DEPUTADO ESTADUAL;PAN;13455;31
2006;DEPUTADO ESTADUAL;PAN;13463;11
2006;DEPUTADO ESTADUAL;PAN;13471;59
2006;DEPUTADO ESTADUAL;PAN;13480;148
2006;DEPUTADO ESTADUAL;PAN;13498;1
2006;DEPUTADO ESTADUAL;PAN;13501;50
2006;DEPUTADO ESTADUAL;PAN;13510;86
2006;DEPUTADO ESTADUAL;PAN;13536;35
2006;DEPUTADO ESTADUAL;PAN;13552;248
2006;DEPUTADO ESTADUAL;PAN;13579;84
2006;DEPUTADO ESTADUAL;PAN;13595;204
2006;DEPUTADO ESTADUAL;PAN;13617;19
2006;DEPUTADO ESTADUAL;PAN;13633;42
2006;DEPUTADO ESTADUAL;PAN;13650;49
2006;DEPUTADO ESTADUAL;PAN;13676;22
2006;DEPUTADO ESTADUAL;PAN;13692;312
2006;DEPUTADO ESTADUAL;PAN;13714;38
2006;DEPUTADO ESTADUAL;PAN;13730;19144
2006;DEPUTADO ESTADUAL;PAN;13757;16
2006;DEPUTADO ESTADUAL;PAN;13773;29
2006;DEPUTADO ESTADUAL;PAN;13811;36
2006;DEPUTADO ESTADUAL;PAN;13838;281
2006;DEPUTADO ESTADUAL;PAN;13854;222
2006;DEPUTADO ESTADUAL;PAN;13870;9
